arrival_time,runtime,gpus,priority
5416865.0,1275.0,2,1.0
5416877.0,2338.0,0,0.5
5416887.0,1026.0,1,0.5
5417030.0,5382.0,1,0.5
5417080.0,1085.0,1,0.5
5417169.0,555.0,2,1.0
5417279.0,143.0,0,0.5
5417285.0,1634.0,1,0.5
5417441.0,8559.0,1,0.5
5417452.0,1291.0,2,1.0
5417557.0,1453.0,2,1.0
5417572.0,146.0,0,0.5
5417693.0,197.0,0,0.5
5417720.0,201.0,0,0.5
5417781.0,1048.0,1,0.5
5417784.0,8849.0,0,0.5
5417885.0,1494.0,1,0.5
5417923.0,1685.0,0,0.5
5418059.0,132.0,0,0.5
5418059.0,140.0,0,0.5
5418061.0,730.0,0,0.5
5418061.0,128.0,0,0.5
5418141.0,690.0,2,1.0
5418191.0,2955.0,0,0.5
5418191.0,822.0,0,0.5
5418192.0,537.0,0,0.5
5418196.0,335.0,0,0.5
5418198.0,9842.0,1,0.5
5418200.0,6529.0,0,0.5
5418200.0,2893.0,0,0.5
5418286.0,22632.0,1,0.5
5418408.0,9444.0,1,0.5
5418564.0,130.0,1,0.5
5418615.0,540.0,2,1.0
5418647.0,1817.0,2,1.0
5418653.0,2459.0,1,0.5
5418665.0,7974.0,1,0.5
5418737.0,198.0,0,0.5
5418743.0,1310.0,2,1.0
5418774.0,206.0,0,0.5
5418832.0,7808.0,2,1.0
5418874.0,2014.0,1,0.5
5418936.0,77.0,0,0.5
5418939.0,1067.0,1,0.5
5418981.0,239.0,0,0.5
5418996.0,636300.0,1,0.5
5419013.0,7631.0,0,0.5
5419014.0,608.0,0,0.5
5419020.0,901.0,0,0.5
5419079.0,1044.0,1,0.5
5419221.0,201.0,0,0.5
5419310.0,2528.0,1,0.5
5419310.0,8374.0,1,0.5
5419423.0,207.0,0,0.5
5419643.0,10214.0,1,0.5
5419669.0,1161.0,1,0.5
5419779.0,1432.0,0,0.5
5419780.0,1040.0,0,0.5
5419788.0,199.0,0,0.5
5419865.0,1499.0,1,0.5
5419890.0,160.0,8,5.0
5420007.0,1077.0,1,0.5
5420007.0,947.0,1,0.5
5420054.0,1311.0,2,1.0
5420123.0,750.0,1,0.5
5420176.0,99651.0,8,5.0
5420182.0,190.0,0,0.5
5420186.0,185.0,0,0.5
5420236.0,7272.0,1,0.5
5420352.0,9946.0,1,0.5
5420372.0,42.0,0,0.5
5420373.0,192.0,0,0.5
5420414.0,9751.0,0,0.5
5420415.0,1214.0,0,0.5
5420415.0,6535.0,0,0.5
5420415.0,1458.0,0,0.5
5420417.0,3747.0,0,0.5
5420424.0,6220.0,2,1.0
5420692.0,5950.0,1,0.5
5420804.0,22395.0,8,5.0
5420874.0,720.0,1,0.5
5421020.0,411.0,1,0.5
5421076.0,1100.0,1,0.5
5421085.0,486.0,1,0.5
5421120.0,5427.0,0,0.5
5421121.0,535.0,0,0.5
5421135.0,1752.0,2,1.0
5421224.0,5409.0,1,0.5
5421243.0,133.0,1,0.5
5421308.0,252.0,0,0.5
5421365.0,1318.0,2,1.0
5421449.0,8632.0,0,0.5
5421572.0,768.0,1,0.5
5421577.0,15272.0,1,0.5
5421595.0,1047.0,1,0.5
5421639.0,8087.0,1,0.5
5421756.0,1311.0,2,1.0
5421773.0,202.0,0,0.5
5421846.0,723.0,1,0.5
5421846.0,37.0,0,0.5
5421874.0,4763.0,1,0.5
5421884.0,2723.0,0,0.5
5421884.0,2189.0,0,0.5
5421884.0,202.0,0,0.5
