job_id,user_id,arrival_time,start_time,finish_time,runtime,gpus,priority,flops
139,0,9678020.0,9678021.0,9678070.0,49.0,1,5.0,49000000000000.0
140,0,9678020.0,9678022.0,9678071.0,49.0,1,5.0,49000000000000.0
141,0,9678020.0,9678023.0,9678072.0,49.0,1,5.0,49000000000000.0
142,0,9678020.0,9678024.0,9678073.0,49.0,1,5.0,49000000000000.0
117,0,9674770.0,9674771.0,9680479.0,5708.0,1,5.0,5708000000000000.0
118,0,9674770.0,9674772.0,9680480.0,5708.0,1,5.0,5708000000000000.0
119,0,9674770.0,9674773.0,9680481.0,5708.0,1,5.0,5708000000000000.0
120,0,9674770.0,9674774.0,9680482.0,5708.0,1,5.0,5708000000000000.0
146,0,9681835.0,9681836.0,9681892.0,56.0,1,1.0,56000000000000.0
147,0,9681835.0,9681837.0,9681893.0,56.0,1,1.0,56000000000000.0
148,0,9681835.0,9681838.0,9681894.0,56.0,1,1.0,56000000000000.0
149,0,9681835.0,9681839.0,9681895.0,56.0,1,1.0,56000000000000.0
143,0,9680639.0,9680640.0,9681896.0,1256.0,1,1.0,1256000000000000.0
144,0,9680639.0,9680641.0,9681897.0,1256.0,1,1.0,1256000000000000.0
145,0,9680639.0,9680642.0,9681898.0,1256.0,1,1.0,1256000000000000.0
121,0,9676001.0,9676002.0,9684365.0,8363.0,1,1.0,8363000000000000.0
122,0,9676001.0,9676003.0,9684366.0,8363.0,1,1.0,8363000000000000.0
123,0,9676001.0,9676004.0,9684367.0,8363.0,1,1.0,8363000000000000.0
124,0,9676006.0,9676007.0,9686818.0,10811.0,1,1.0,1.0811e+16
125,0,9676006.0,9676008.0,9686819.0,10811.0,1,1.0,1.0811e+16
126,0,9676006.0,9676009.0,9686820.0,10811.0,1,1.0,1.0811e+16
127,0,9676006.0,9676010.0,9686821.0,10811.0,1,1.0,1.0811e+16
128,0,9676006.0,9676011.0,9686822.0,10811.0,1,1.0,1.0811e+16
129,0,9676006.0,9676012.0,9686823.0,10811.0,1,1.0,1.0811e+16
130,0,9676009.0,9676013.0,9686830.0,10817.0,1,1.0,1.0817e+16
154,0,9691242.0,9691243.0,9691430.0,187.0,1,5.0,187000000000000.0
155,0,9691242.0,9691244.0,9691431.0,187.0,1,5.0,187000000000000.0
166,0,9695997.0,9695998.0,9696091.0,93.0,1,5.0,93000000000000.0
167,0,9695997.0,9695999.0,9696092.0,93.0,1,5.0,93000000000000.0
168,0,9695997.0,9696000.0,9696093.0,93.0,1,5.0,93000000000000.0
158,0,9695851.0,9695852.0,9696511.0,659.0,1,5.0,659000000000000.0
159,0,9695851.0,9695853.0,9696512.0,659.0,1,5.0,659000000000000.0
160,0,9695851.0,9695854.0,9696513.0,659.0,1,5.0,659000000000000.0
163,0,9695987.0,9695988.0,9696647.0,659.0,1,5.0,659000000000000.0
164,0,9695987.0,9695989.0,9696648.0,659.0,1,5.0,659000000000000.0
165,0,9695987.0,9695990.0,9696649.0,659.0,1,5.0,659000000000000.0
156,0,9695812.0,9695813.0,9696832.0,1019.0,1,5.0,1019000000000000.0
157,0,9695812.0,9695814.0,9696833.0,1019.0,1,5.0,1019000000000000.0
150,0,9687132.0,9687133.0,9697323.0,10190.0,1,1.0,1.019e+16
131,0,9676019.0,9676020.0,9697324.0,21304.0,1,1.0,2.1304e+16
151,0,9687132.0,9687134.0,9697324.0,10190.0,1,1.0,1.019e+16
132,0,9676019.0,9676021.0,9697325.0,21304.0,1,1.0,2.1304e+16
152,0,9687132.0,9687135.0,9697325.0,10190.0,1,1.0,1.019e+16
133,0,9676019.0,9676022.0,9697326.0,21304.0,1,1.0,2.1304e+16
153,0,9687132.0,9687136.0,9697326.0,10190.0,1,1.0,1.019e+16
161,0,9695905.0,9695906.0,9697448.0,1542.0,1,5.0,1542000000000000.0
162,0,9695905.0,9695907.0,9697449.0,1542.0,1,5.0,1542000000000000.0
173,0,9699444.0,9699445.0,9700139.0,694.0,1,5.0,694000000000000.0
174,0,9699444.0,9699446.0,9700140.0,694.0,1,5.0,694000000000000.0
175,0,9710355.0,9710356.0,9723030.0,12674.0,1,1.0,1.2674e+16
176,0,9710355.0,9710357.0,9723031.0,12674.0,1,1.0,1.2674e+16
177,0,9710355.0,9710358.0,9723032.0,12674.0,1,1.0,1.2674e+16
178,0,9710355.0,9710359.0,9723033.0,12674.0,1,1.0,1.2674e+16
181,0,9723295.0,9723296.0,9726595.0,3299.0,1,5.0,3299000000000000.0
182,0,9723295.0,9723297.0,9726596.0,3299.0,1,5.0,3299000000000000.0
183,0,9723295.0,9723298.0,9726597.0,3299.0,1,5.0,3299000000000000.0
180,0,9718601.0,9718602.0,9734324.0,15722.0,1,1.0,1.5722e+16
179,0,9716312.0,9716313.0,9738573.0,22260.0,1,1.0,2.226e+16
187,0,9737080.0,9737081.0,9740659.0,3578.0,1,1.0,3578000000000000.0
188,0,9737080.0,9737082.0,9740660.0,3578.0,1,1.0,3578000000000000.0
189,0,9737080.0,9737083.0,9740661.0,3578.0,1,1.0,3578000000000000.0
190,0,9737080.0,9737084.0,9740662.0,3578.0,1,1.0,3578000000000000.0
200,0,9741652.0,9741653.0,9742433.0,780.0,1,5.0,780000000000000.0
201,0,9741652.0,9741654.0,9742434.0,780.0,1,5.0,780000000000000.0
202,0,9741652.0,9741655.0,9742435.0,780.0,1,5.0,780000000000000.0
203,0,9741652.0,9741656.0,9742436.0,780.0,1,5.0,780000000000000.0
192,0,9737661.0,9737662.0,9744738.0,7076.0,1,1.0,7076000000000000.0
194,0,9740966.0,9740967.0,9744739.0,3772.0,1,1.0,3772000000000000.0
195,0,9740966.0,9740968.0,9744740.0,3772.0,1,1.0,3772000000000000.0
196,0,9740966.0,9740969.0,9744741.0,3772.0,1,1.0,3772000000000000.0
197,0,9740966.0,9740970.0,9744742.0,3772.0,1,1.0,3772000000000000.0
198,0,9740966.0,9740971.0,9744743.0,3772.0,1,1.0,3772000000000000.0
199,0,9740966.0,9740972.0,9744744.0,3772.0,1,1.0,3772000000000000.0
184,0,9726511.0,9726512.0,9746922.0,20410.0,1,1.0,2.041e+16
185,0,9726511.0,9726513.0,9746923.0,20410.0,1,1.0,2.041e+16
186,0,9726511.0,9726514.0,9746924.0,20410.0,1,1.0,2.041e+16
206,0,9747638.0,9747639.0,9747720.0,81.0,1,1.0,81000000000000.0
204,0,9745313.0,9745314.0,9748509.0,3195.0,1,5.0,3195000000000000.0
205,0,9745313.0,9745315.0,9748510.0,3195.0,1,5.0,3195000000000000.0
207,0,9747712.0,9747713.0,9748607.0,894.0,1,5.0,894000000000000.0
208,0,9748514.0,9748515.0,9750942.0,2427.0,1,1.0,2427000000000000.0
209,0,9748514.0,9748516.0,9750943.0,2427.0,1,1.0,2427000000000000.0
210,0,9750893.0,9750894.0,9751433.0,539.0,1,5.0,539000000000000.0
211,0,9750893.0,9750895.0,9751434.0,539.0,1,5.0,539000000000000.0
212,0,9750893.0,9750896.0,9751435.0,539.0,1,5.0,539000000000000.0
213,0,9753209.0,9753210.0,9753339.0,129.0,1,5.0,129000000000000.0
214,0,9753209.0,9753211.0,9753340.0,129.0,1,5.0,129000000000000.0
191,0,9737504.0,9737505.0,9756269.0,18764.0,1,1.0,1.8764e+16
223,0,9762473.0,9762474.0,9762945.0,471.0,1,5.0,471000000000000.0
224,0,9762473.0,9762475.0,9762946.0,471.0,1,5.0,471000000000000.0
218,0,9754243.0,9754244.0,9763243.0,8999.0,1,5.0,8999000000000000.0
219,0,9754243.0,9754245.0,9763244.0,8999.0,1,5.0,8999000000000000.0
220,0,9754243.0,9754246.0,9763245.0,8999.0,1,5.0,8999000000000000.0
221,0,9754243.0,9754247.0,9763246.0,8999.0,1,5.0,8999000000000000.0
222,0,9754243.0,9754248.0,9763247.0,8999.0,1,5.0,8999000000000000.0
225,0,9764709.0,9764710.0,9764807.0,97.0,1,1.0,97000000000000.0
226,0,9764709.0,9764711.0,9764808.0,97.0,1,1.0,97000000000000.0
227,0,9765171.0,9765172.0,9765714.0,542.0,1,1.0,542000000000000.0
228,0,9765171.0,9765173.0,9765715.0,542.0,1,1.0,542000000000000.0
229,0,9765275.0,9765276.0,9765780.0,504.0,1,1.0,504000000000000.0
230,0,9765275.0,9765277.0,9765781.0,504.0,1,1.0,504000000000000.0
231,0,9765275.0,9765278.0,9765782.0,504.0,1,1.0,504000000000000.0
232,0,9765275.0,9765279.0,9765783.0,504.0,1,1.0,504000000000000.0
234,0,9765901.0,9765902.0,9766272.0,370.0,1,1.0,370000000000000.0
235,0,9765901.0,9765903.0,9766273.0,370.0,1,1.0,370000000000000.0
236,0,9765901.0,9765904.0,9766274.0,370.0,1,1.0,370000000000000.0
237,0,9765966.0,9765967.0,9768521.0,2554.0,1,1.0,2554000000000000.0
238,0,9765966.0,9765968.0,9768522.0,2554.0,1,1.0,2554000000000000.0
239,0,9765966.0,9765969.0,9768523.0,2554.0,1,1.0,2554000000000000.0
15,0,9396469.0,9396470.0,9770585.0,374115.0,1,5.0,3.74115e+17
169,0,9696449.0,9696450.0,9771523.0,75073.0,1,1.0,7.5073e+16
170,0,9696449.0,9696451.0,9771524.0,75073.0,1,1.0,7.5073e+16
171,0,9696449.0,9696452.0,9771525.0,75073.0,1,1.0,7.5073e+16
172,0,9696449.0,9696453.0,9771526.0,75073.0,1,1.0,7.5073e+16
240,0,9771048.0,9771049.0,9771581.0,532.0,1,1.0,532000000000000.0
241,0,9773037.0,9773038.0,9773191.0,153.0,1,1.0,153000000000000.0
242,0,9773037.0,9773039.0,9773192.0,153.0,1,1.0,153000000000000.0
243,0,9773821.0,9773822.0,9774378.0,556.0,1,1.0,556000000000000.0
244,0,9773821.0,9773823.0,9774379.0,556.0,1,1.0,556000000000000.0
245,0,9773821.0,9773824.0,9774380.0,556.0,1,1.0,556000000000000.0
246,0,9773821.0,9773825.0,9774381.0,556.0,1,1.0,556000000000000.0
247,0,9774663.0,9774664.0,9775112.0,448.0,1,1.0,448000000000000.0
248,0,9774663.0,9774665.0,9775113.0,448.0,1,1.0,448000000000000.0
259,0,9776902.0,9776903.0,9776938.0,35.0,1,5.0,35000000000000.0
260,0,9776902.0,9776904.0,9776939.0,35.0,1,5.0,35000000000000.0
261,0,9776902.0,9776905.0,9776940.0,35.0,1,5.0,35000000000000.0
233,0,9765840.0,9765841.0,9777748.0,11907.0,1,5.0,1.1907e+16
263,0,9777547.0,9777548.0,9779539.0,1991.0,1,1.0,1991000000000000.0
264,0,9777547.0,9777549.0,9779540.0,1991.0,1,1.0,1991000000000000.0
265,0,9777547.0,9777550.0,9779541.0,1991.0,1,1.0,1991000000000000.0
269,0,9779262.0,9779263.0,9779661.0,398.0,1,1.0,398000000000000.0
270,0,9779262.0,9779264.0,9779662.0,398.0,1,1.0,398000000000000.0
271,0,9779262.0,9779265.0,9779663.0,398.0,1,1.0,398000000000000.0
272,0,9779664.0,9779665.0,9780198.0,533.0,1,5.0,533000000000000.0
215,0,9754196.0,9754197.0,9780894.0,26697.0,1,5.0,2.6697e+16
216,0,9754196.0,9754198.0,9780895.0,26697.0,1,5.0,2.6697e+16
217,0,9754196.0,9754199.0,9780896.0,26697.0,1,5.0,2.6697e+16
249,0,9775494.0,9775495.0,9781344.0,5849.0,1,5.0,5849000000000000.0
250,0,9775494.0,9775496.0,9781345.0,5849.0,1,5.0,5849000000000000.0
273,0,9781662.0,9781663.0,9781695.0,32.0,1,5.0,32000000000000.0
274,0,9781662.0,9781664.0,9781696.0,32.0,1,5.0,32000000000000.0
275,0,9781662.0,9781665.0,9781697.0,32.0,1,5.0,32000000000000.0
276,0,9781662.0,9781666.0,9781698.0,32.0,1,5.0,32000000000000.0
277,0,9781662.0,9781667.0,9781699.0,32.0,1,5.0,32000000000000.0
279,0,9782639.0,9782640.0,9782783.0,143.0,1,1.0,143000000000000.0
256,0,9776506.0,9776507.0,9782950.0,6443.0,1,1.0,6443000000000000.0
257,0,9776506.0,9776508.0,9782951.0,6443.0,1,1.0,6443000000000000.0
258,0,9776506.0,9776509.0,9782952.0,6443.0,1,1.0,6443000000000000.0
266,0,9778723.0,9778724.0,9783020.0,4296.0,1,1.0,4296000000000000.0
267,0,9778723.0,9778725.0,9783021.0,4296.0,1,1.0,4296000000000000.0
268,0,9778723.0,9778726.0,9783022.0,4296.0,1,1.0,4296000000000000.0
251,0,9776497.0,9776498.0,9783045.0,6547.0,1,1.0,6547000000000000.0
252,0,9776497.0,9776499.0,9783046.0,6547.0,1,1.0,6547000000000000.0
253,0,9776497.0,9776500.0,9783047.0,6547.0,1,1.0,6547000000000000.0
254,0,9776497.0,9776501.0,9783048.0,6547.0,1,1.0,6547000000000000.0
255,0,9776497.0,9776502.0,9783049.0,6547.0,1,1.0,6547000000000000.0
280,0,9784381.0,9784382.0,9784464.0,82.0,1,5.0,82000000000000.0
281,0,9784381.0,9784383.0,9784465.0,82.0,1,5.0,82000000000000.0
282,0,9784911.0,9784912.0,9784953.0,41.0,1,1.0,41000000000000.0
283,0,9784911.0,9784913.0,9784954.0,41.0,1,1.0,41000000000000.0
284,0,9785560.0,9785561.0,9785666.0,105.0,1,1.0,105000000000000.0
285,0,9785560.0,9785562.0,9785667.0,105.0,1,1.0,105000000000000.0
286,0,9785560.0,9785563.0,9785668.0,105.0,1,1.0,105000000000000.0
287,0,9785560.0,9785564.0,9785669.0,105.0,1,1.0,105000000000000.0
278,0,9781900.0,9781901.0,9787364.0,5463.0,1,5.0,5463000000000000.0
290,0,9787379.0,9787380.0,9787559.0,179.0,1,5.0,179000000000000.0
289,0,9787297.0,9787298.0,9787805.0,507.0,1,5.0,507000000000000.0
294,0,9793612.0,9793613.0,9794211.0,598.0,1,5.0,598000000000000.0
295,0,9793612.0,9793614.0,9794212.0,598.0,1,5.0,598000000000000.0
288,0,9786485.0,9786486.0,9795899.0,9413.0,1,5.0,9413000000000000.0
296,0,9798353.0,9798354.0,9798818.0,464.0,1,1.0,464000000000000.0
297,0,9798353.0,9798355.0,9798819.0,464.0,1,1.0,464000000000000.0
298,0,9798353.0,9798356.0,9798820.0,464.0,1,1.0,464000000000000.0
299,0,9798353.0,9798357.0,9798821.0,464.0,1,1.0,464000000000000.0
300,0,9805742.0,9805743.0,9806190.0,447.0,1,1.0,447000000000000.0
301,0,9805913.0,9805914.0,9807655.0,1741.0,1,5.0,1741000000000000.0
193,0,9738112.0,9738113.0,9808193.0,70080.0,1,5.0,7.008e+16
262,0,9777420.0,9777421.0,9817934.0,40513.0,1,1.0,4.0513e+16
302,0,9817252.0,9817253.0,9818872.0,1619.0,1,5.0,1619000000000000.0
303,0,9821407.0,9821408.0,9831492.0,10084.0,1,1.0,1.0084e+16
304,0,9821407.0,9821409.0,9831493.0,10084.0,1,1.0,1.0084e+16
305,0,9832086.0,9832087.0,9832197.0,110.0,1,5.0,110000000000000.0
306,0,9832086.0,9832088.0,9832198.0,110.0,1,5.0,110000000000000.0
